model,odometer,price,DAS,accident_history,EMI,State Abb,State
Model S,26886,47500,Enhanced Autopilot,No Accidents,719,VA,Virginia
Model S,48618,48800,Autopilot,No Accidents,743,FL,Florida
Model S,46081,53000,Autopilot,No Accidents,818,MA,Massachusetts
Model S,36438,53300,Autopilot,Previously Repaired,824,CA,California
Model S,36438,53300,Autopilot,Previously Repaired,824,CA,California
Model S,63298,40400,Autopilot,Previously Repaired,592,FL,Florida
Model S,81419,42400,Autopilot,No Accidents,628,IL,Illinois
Model S,46841,43300,Autopilot,No Accidents,644,FL,Florida
Model S,38244,46100,Autopilot,No Accidents,694,MD,Maryland
Model S,13821,47100,Autopilot,No Accidents,712,TN,Tennessee
Model S,40551,48100,Autopilot,No Accidents,730,MN,Minnesota
Model S,63298,40400,Autopilot,Previously Repaired,592,FL,Florida
Model S,81419,42400,Autopilot,No Accidents,628,IL,Illinois
Model S,46841,43300,Autopilot,No Accidents,644,FL,Florida
Model S,38244,46100,Autopilot,No Accidents,694,MD,Maryland
Model S,13821,47100,Autopilot,No Accidents,712,TN,Tennessee
Model S,40551,48100,Autopilot,No Accidents,730,MN,Minnesota
Model S,63298,40400,Autopilot,Previously Repaired,592,FL,Florida
Model S,81419,42400,Autopilot,No Accidents,628,IL,Illinois
Model S,46841,43300,Autopilot,No Accidents,644,FL,Florida
Model S,38244,46100,Autopilot,No Accidents,694,MD,Maryland
Model S,13821,47100,Autopilot,No Accidents,712,TN,Tennessee
Model S,40551,48100,Autopilot,No Accidents,730,MN,Minnesota
Model S,46841,40400,Autopilot,Previously Repaired,592,FL,Florida
Model S,22055,42400,Autopilot,No Accidents,628,IL,Illinois
Model S,81419,43300,Autopilot,No Accidents,644,FL,Florida
Model S,13821,46100,Autopilot,No Accidents,694,MD,Maryland
Model S,63298,47100,Autopilot,No Accidents,712,TN,Tennessee
Model S,38244,48100,Autopilot,No Accidents,730,MN,Minnesota
Model S,63298,40400,Autopilot,Previously Repaired,592,FL,Florida
Model S,81419,42400,Autopilot,No Accidents,628,IL,Illinois
Model S,46841,43300,Autopilot,No Accidents,644,FL,Florida
Model S,38244,46100,Autopilot,No Accidents,694,MD,Maryland
Model S,13821,47100,Autopilot,No Accidents,712,TN,Tennessee
Model S,40551,48100,Autopilot,No Accidents,730,MN,Minnesota
Model S,63298,40400,Autopilot,Previously Repaired,592,FL,Florida
Model S,81419,42400,Autopilot,No Accidents,628,IL,Illinois
Model S,46841,43300,Autopilot,No Accidents,644,FL,Florida
Model S,38244,46100,Autopilot,No Accidents,694,MD,Maryland
Model S,13821,47100,Autopilot,No Accidents,712,TN,Tennessee
Model S,40551,48100,Autopilot,No Accidents,730,MN,Minnesota
Model S,63298,40400,Autopilot,Previously Repaired,592,FL,Florida
Model S,81419,42400,Autopilot,No Accidents,628,IL,Illinois
Model S,46841,43300,Autopilot,No Accidents,644,FL,Florida
Model S,38244,46100,Autopilot,No Accidents,694,MD,Maryland
Model S,13821,47100,Autopilot,No Accidents,712,TN,Tennessee
Model S,40551,48100,Autopilot,No Accidents,730,MN,Minnesota
Model S,63298,40400,Autopilot,Previously Repaired,592,FL,Florida
Model S,81419,42400,Autopilot,No Accidents,628,IL,Illinois
Model S,46841,43300,Autopilot,No Accidents,644,FL,Florida
Model S,38244,46100,Autopilot,No Accidents,694,MD,Maryland
Model S,13821,47100,Autopilot,No Accidents,712,TN,Tennessee
Model S,40551,48100,Autopilot,No Accidents,730,MN,Minnesota
Model S,41391,47300,Autopilot,No Accidents,716,CA,California
Model S,36925,53100,Autopilot,No Accidents,820,CA,California
Model S,16994,58800,Enhanced Autopilot,No Accidents,923,CA,California
Model S,45284,47200,Autopilot,No Accidents,714,MA,Massachusetts
Model S,60507,48200,Autopilot,Previously Repaired,732,FL,Florida
Model S,27828,49400,Autopilot,Previously Repaired,754,MN,Minnesota
Model S,25082,49700,Autopilot,No Accidents,759,FL,Florida
Model S,32822,49900,Autopilot,No Accidents,763,IL,Illinois
Model S,25039,50300,Autopilot,No Accidents,770,FL,Florida
Model S,38783,50400,Autopilot,No Accidents,772,IL,Illinois
Model S,19821,50500,Autopilot,No Accidents,773,MD,Maryland
Model S,29199,50700,Autopilot,No Accidents,777,FL,Florida
Model S,47056,51100,Autopilot,No Accidents,784,NC,North Carolina
Model S,28249,51500,Autopilot,No Accidents,791,MN,Minnesota
Model S,33368,51500,Autopilot,No Accidents,791,CA,California
Model S,56931,51800,Full Self-Driving ,Previously Repaired,797,MD,Maryland
Model S,34703,51900,Autopilot,No Accidents,799,VA,Virginia
Model S,28674,52400,Autopilot,No Accidents,808,GA,Georgia
Model S,42529,52500,Autopilot,No Accidents,809,CA,California
Model S,50881,53100,Full Self-Driving ,Previously Repaired,820,NC,North Carolina
Model S,20180,53700,Autopilot,Previously Repaired,831,NJ,New Jersey
Model S,22417,53700,Autopilot,No Accidents,831,FL,Florida
Model S,40479,53700,Autopilot,No Accidents,831,IL,Illinois
Model S,28579,54000,Autopilot,No Accidents,836,CA,California
Model S,38650,54100,Autopilot,No Accidents,838,NJ,New Jersey
Model S,20260,54400,Autopilot,No Accidents,844,GA,Georgia
Model S,21684,54400,Autopilot,No Accidents,844,CA,California
Model S,32577,55400,Autopilot,No Accidents,862,GA,Georgia
Model S,30505,55600,Autopilot,No Accidents,865,IL,Illinois
Model S,29418,55700,Autopilot,No Accidents,867,MD,Maryland
Model S,15604,55800,Autopilot,No Accidents,869,NJ,New Jersey
Model S,35236,55800,Full Self-Driving ,Previously Repaired,869,FL,Florida
Model S,18720,56000,Autopilot,No Accidents,872,CA,California
Model S,37443,56400,Full Self-Driving ,No Accidents,880,CA,California
Model S,27404,56500,Autopilot,Previously Repaired,881,CA,California
Model S,13138,56800,Autopilot,No Accidents,887,MN,Minnesota
Model S,25297,56900,Autopilot,No Accidents,889,FL,Florida
Model S,27702,57200,Autopilot,No Accidents,894,GA,Georgia
Model S,34506,57900,Autopilot,No Accidents,907,MD,Maryland
Model S,16444,58400,Full Self-Driving ,Previously Repaired,915,FL,Florida
Model S,15063,58700,Autopilot,No Accidents,921,CA,California
Model S,16994,58800,Enhanced Autopilot,No Accidents,923,CA,California
Model S,14721,59100,Autopilot,No Accidents,928,NC,North Carolina
Model S,16870,59600,Autopilot,No Accidents,937,NJ,New Jersey
Model S,30024,59700,Full Self-Driving ,No Accidents,939,GA,Georgia
Model S,33215,60200,Full Self-Driving ,No Accidents,948,CA,California
Model S,30146,60300,Full Self-Driving ,No Accidents,950,CA,California
Model S,13149,61200,Autopilot,Previously Repaired,966,GA,Georgia
Model S,42094,62100,Full Self-Driving ,No Accidents,982,CA,California
Model S,22608,62100,Full Self-Driving ,No Accidents,982,MD,Maryland
Model S,41391,47300,Autopilot,No Accidents,716,CA,California
Model S,36925,53100,Autopilot,No Accidents,820,CA,California
Model S,16994,58800,Enhanced Autopilot,No Accidents,923,CA,California
Model S,41391,47300,Autopilot,No Accidents,716,CA,California
Model S,36925,53100,Autopilot,No Accidents,820,CA,California
Model S,16994,58800,Enhanced Autopilot,No Accidents,923,CA,California
Model S,45284,47200,Autopilot,No Accidents,714,MA,Massachusetts
Model S,60507,48200,Autopilot,Previously Repaired,732,FL,Florida
Model S,27828,49400,Autopilot,Previously Repaired,754,MN,Minnesota
Model S,25082,49700,Autopilot,No Accidents,759,FL,Florida
Model S,32822,49900,Autopilot,No Accidents,763,IL,Illinois
Model S,25039,50300,Autopilot,No Accidents,770,FL,Florida
Model S,38783,50400,Autopilot,No Accidents,772,IL,Illinois
Model S,19821,50500,Autopilot,No Accidents,773,MD,Maryland
Model S,29199,50700,Autopilot,No Accidents,777,FL,Florida
Model S,47056,51100,Autopilot,No Accidents,784,NC,North Carolina
Model S,28249,51500,Autopilot,No Accidents,791,MN,Minnesota
Model S,33368,51500,Autopilot,No Accidents,791,CA,California
Model S,56931,51800,Full Self-Driving ,Previously Repaired,797,MD,Maryland
Model S,34703,51900,Autopilot,No Accidents,799,VA,Virginia
Model S,28674,52400,Autopilot,No Accidents,808,GA,Georgia
Model S,42529,52500,Autopilot,No Accidents,809,CA,California
Model S,50881,53100,Full Self-Driving ,Previously Repaired,820,NC,North Carolina
Model S,22417,53700,Autopilot,No Accidents,831,FL,Florida
Model S,40479,53700,Autopilot,No Accidents,831,IL,Illinois
Model S,20180,53700,Autopilot,Previously Repaired,831,NJ,New Jersey
Model S,28579,54000,Autopilot,No Accidents,836,CA,California
Model S,38650,54100,Autopilot,No Accidents,838,NJ,New Jersey
Model S,20260,54400,Autopilot,No Accidents,844,GA,Georgia
Model S,21684,54400,Autopilot,No Accidents,844,CA,California
Model S,32577,55400,Autopilot,No Accidents,862,GA,Georgia
Model S,30505,55600,Autopilot,No Accidents,865,IL,Illinois
Model S,29418,55700,Autopilot,No Accidents,867,MD,Maryland
Model S,15604,55800,Autopilot,No Accidents,869,NJ,New Jersey
Model S,35236,55800,Full Self-Driving ,Previously Repaired,869,FL,Florida
Model S,18720,56000,Autopilot,No Accidents,872,CA,California
Model S,37443,56400,Full Self-Driving ,No Accidents,880,CA,California
Model S,27404,56500,Autopilot,Previously Repaired,881,CA,California
Model S,13138,56800,Autopilot,No Accidents,887,MN,Minnesota
Model S,25297,56900,Autopilot,No Accidents,889,FL,Florida
Model S,27702,57200,Autopilot,No Accidents,894,GA,Georgia
Model S,34506,57900,Autopilot,No Accidents,907,MD,Maryland
Model S,16444,58400,Full Self-Driving ,Previously Repaired,915,FL,Florida
Model S,15063,58700,Autopilot,No Accidents,921,CA,California
Model S,16994,58800,Enhanced Autopilot,No Accidents,923,CA,California
Model S,14721,59100,Autopilot,No Accidents,928,NC,North Carolina
Model S,16870,59600,Autopilot,No Accidents,937,NJ,New Jersey
Model S,30024,59700,Full Self-Driving ,No Accidents,939,GA,Georgia
Model S,33215,60200,Full Self-Driving ,No Accidents,948,CA,California
Model S,30146,60300,Full Self-Driving ,No Accidents,950,CA,California
Model S,13149,61200,Autopilot,Previously Repaired,966,GA,Georgia
Model S,42094,62100,Full Self-Driving ,No Accidents,982,CA,California
Model S,22608,62100,Full Self-Driving ,No Accidents,982,MD,Maryland
Model S,41391,47300,Autopilot,No Accidents,716,CA,California
Model S,36925,53100,Autopilot,No Accidents,820,CA,California
Model S,16994,58800,Enhanced Autopilot,No Accidents,923,CA,California
Model S,45284,47200,Autopilot,No Accidents,714,MA,Massachusetts
Model S,60507,48200,Autopilot,Previously Repaired,732,FL,Florida
Model S,27828,49400,Autopilot,Previously Repaired,754,MN,Minnesota
Model S,25082,49700,Autopilot,No Accidents,759,FL,Florida
Model S,32822,49900,Autopilot,No Accidents,763,IL,Illinois
Model S,25039,50300,Autopilot,No Accidents,770,FL,Florida
Model S,38783,50400,Autopilot,No Accidents,772,IL,Illinois
Model S,19821,50500,Autopilot,No Accidents,773,MD,Maryland
Model S,29199,50700,Autopilot,No Accidents,777,FL,Florida
Model S,47056,51100,Autopilot,No Accidents,784,NC,North Carolina
Model S,28249,51500,Autopilot,No Accidents,791,MN,Minnesota
Model S,33368,51500,Autopilot,No Accidents,791,CA,California
Model S,56931,51800,Full Self-Driving ,Previously Repaired,797,MD,Maryland
Model S,34703,51900,Autopilot,No Accidents,799,VA,Virginia
Model S,28674,52400,Autopilot,No Accidents,808,GA,Georgia
Model S,42529,52500,Autopilot,No Accidents,809,CA,California
Model S,50881,53100,Full Self-Driving ,Previously Repaired,820,NC,North Carolina
Model S,22417,53700,Autopilot,No Accidents,831,FL,Florida
Model S,40479,53700,Autopilot,No Accidents,831,IL,Illinois
Model S,20180,53700,Autopilot,Previously Repaired,831,NJ,New Jersey
Model S,28579,54000,Autopilot,No Accidents,836,CA,California
Model S,38650,54100,Autopilot,No Accidents,838,NJ,New Jersey
Model S,20260,54400,Autopilot,No Accidents,844,GA,Georgia
Model S,21684,54400,Autopilot,No Accidents,844,CA,California
Model S,32577,55400,Autopilot,No Accidents,862,GA,Georgia
Model S,30505,55600,Autopilot,No Accidents,865,IL,Illinois
Model S,29418,55700,Autopilot,No Accidents,867,MD,Maryland
Model S,15604,55800,Autopilot,No Accidents,869,NJ,New Jersey
Model S,35236,55800,Full Self-Driving ,Previously Repaired,869,FL,Florida
Model S,18720,56000,Autopilot,No Accidents,872,CA,California
Model S,37443,56400,Full Self-Driving ,No Accidents,880,CA,California
Model S,27404,56500,Autopilot,Previously Repaired,881,CA,California
Model S,13138,56800,Autopilot,No Accidents,887,MN,Minnesota
Model S,25297,56900,Autopilot,No Accidents,889,FL,Florida
Model S,27702,57200,Autopilot,No Accidents,894,GA,Georgia
Model S,34506,57900,Autopilot,No Accidents,907,MD,Maryland
Model S,16444,58400,Full Self-Driving ,Previously Repaired,915,FL,Florida
Model S,15063,58700,Autopilot,No Accidents,921,CA,California
Model S,16994,58800,Enhanced Autopilot,No Accidents,923,CA,California
Model S,14721,59100,Autopilot,No Accidents,928,NC,North Carolina
Model S,16870,59600,Autopilot,No Accidents,937,NJ,New Jersey
Model S,30024,59700,Full Self-Driving ,No Accidents,939,GA,Georgia
Model S,33215,60200,Full Self-Driving ,No Accidents,948,CA,California
Model S,30146,60300,Full Self-Driving ,No Accidents,950,CA,California
Model S,13149,61200,Autopilot,Previously Repaired,966,GA,Georgia
Model S,42094,62100,Full Self-Driving ,No Accidents,982,CA,California
Model S,22608,62100,Full Self-Driving ,No Accidents,982,MD,Maryland
Model S,45284,47200,Autopilot,No Accidents,714,MA,Massachusetts
Model S,41391,47300,Autopilot,No Accidents,716,CA,California
Model S,60507,48200,Autopilot,Previously Repaired,732,FL,Florida
Model S,27828,49400,Autopilot,Previously Repaired,754,MN,Minnesota
Model S,25082,49700,Autopilot,No Accidents,759,FL,Florida
Model S,32822,49900,Autopilot,No Accidents,763,IL,Illinois
Model S,25039,50300,Autopilot,No Accidents,770,FL,Florida
Model S,38783,50400,Autopilot,No Accidents,772,IL,Illinois
Model S,19821,50500,Autopilot,No Accidents,773,MD,Maryland
Model S,29199,50700,Autopilot,No Accidents,777,FL,Florida
Model S,47056,51100,Autopilot,No Accidents,784,NC,North Carolina
Model S,28249,51500,Autopilot,No Accidents,791,MN,Minnesota
Model S,33368,51500,Autopilot,No Accidents,791,CA,California
Model S,56931,51800,Full Self-Driving ,Previously Repaired,797,MD,Maryland
Model S,34703,51900,Autopilot,No Accidents,799,VA,Virginia
Model S,28674,52400,Autopilot,No Accidents,808,GA,Georgia
Model S,42529,52500,Autopilot,No Accidents,809,CA,California
Model S,50881,53100,Full Self-Driving ,Previously Repaired,820,NC,North Carolina
Model S,36925,53100,Autopilot,No Accidents,820,CA,California
Model S,20180,53700,Autopilot,Previously Repaired,831,NJ,New Jersey
Model S,22417,53700,Autopilot,No Accidents,831,FL,Florida
Model S,40479,53700,Autopilot,No Accidents,831,IL,Illinois
Model S,28579,54000,Autopilot,No Accidents,836,CA,California
Model S,38650,54100,Autopilot,No Accidents,838,NJ,New Jersey
Model S,20260,54400,Autopilot,No Accidents,844,GA,Georgia
Model S,21684,54400,Autopilot,No Accidents,844,CA,California
Model S,32577,55400,Autopilot,No Accidents,862,GA,Georgia
Model S,30505,55600,Autopilot,No Accidents,865,IL,Illinois
Model S,29418,55700,Autopilot,No Accidents,867,MD,Maryland
Model S,15604,55800,Autopilot,No Accidents,869,NJ,New Jersey
Model S,35236,55800,Full Self-Driving ,Previously Repaired,869,FL,Florida
Model S,18720,56000,Autopilot,No Accidents,872,CA,California
Model S,37443,56400,Full Self-Driving ,No Accidents,880,CA,California
Model S,27404,56500,Autopilot,Previously Repaired,881,CA,California
Model S,13138,56800,Autopilot,No Accidents,887,MN,Minnesota
Model S,25297,56900,Autopilot,No Accidents,889,FL,Florida
Model S,27702,57200,Autopilot,No Accidents,894,GA,Georgia
Model S,34506,57900,Autopilot,No Accidents,907,MD,Maryland
Model S,16444,58400,Full Self-Driving ,Previously Repaired,915,FL,Florida
Model S,15063,58700,Autopilot,No Accidents,921,CA,California
Model S,16994,58800,Enhanced Autopilot,No Accidents,923,CA,California
Model S,14721,59100,Autopilot,No Accidents,928,NC,North Carolina
Model S,16870,59600,Autopilot,No Accidents,937,NJ,New Jersey
Model S,30024,59700,Full Self-Driving ,No Accidents,939,GA,Georgia
Model S,33215,60200,Full Self-Driving ,No Accidents,948,CA,California
Model S,30146,60300,Full Self-Driving ,No Accidents,950,CA,California
Model S,13149,61200,Autopilot,Previously Repaired,966,GA,Georgia
Model S,42094,62100,Full Self-Driving ,No Accidents,982,CA,California
Model S,22608,62100,Full Self-Driving ,No Accidents,982,MD,Maryland
Model S,41391,47300,Autopilot,No Accidents,716,CA,California
Model S,36925,53100,Autopilot,No Accidents,820,CA,California
Model S,16994,58800,Enhanced Autopilot,No Accidents,923,CA,California
Model S,33368,51500,Autopilot,No Accidents,791,CA,California
Model S,42529,52500,Autopilot,No Accidents,809,CA,California
Model S,28579,54000,Autopilot,No Accidents,836,CA,California
Model S,21684,54400,Autopilot,No Accidents,844,CA,California
Model S,37443,56400,Full Self-Driving ,No Accidents,880,CA,California
Model S,27404,56500,Autopilot,Previously Repaired,881,CA,California
Model S,13138,56800,Autopilot,No Accidents,887,CA,California
Model S,14721,59100,Autopilot,No Accidents,928,CA,California
Model S,30146,60300,Full Self-Driving ,No Accidents,950,CA,California
Model S,13149,61200,Autopilot,Previously Repaired,966,CA,California
Model S,22608,62100,Full Self-Driving ,No Accidents,982,CA,California
Model S,45284,47200,Autopilot,No Accidents,714,MA,Massachusetts
Model S,60507,48200,Autopilot,Previously Repaired,732,FL,Florida
Model S,27828,49400,Autopilot,Previously Repaired,754,MN,Minnesota
Model S,25082,49700,Autopilot,No Accidents,759,FL,Florida
Model S,32822,49900,Autopilot,No Accidents,763,IL,Illinois
Model S,25039,50300,Autopilot,No Accidents,770,FL,Florida
Model S,38783,50400,Autopilot,No Accidents,772,IL,Illinois
Model S,19821,50500,Autopilot,No Accidents,773,MD,Maryland
Model S,29199,50700,Autopilot,No Accidents,777,FL,Florida
Model S,47056,51100,Autopilot,No Accidents,784,NC,North Carolina
Model S,28249,51500,Autopilot,No Accidents,791,MN,Minnesota
Model S,56931,51800,Full Self-Driving ,Previously Repaired,797,MD,Maryland
Model S,34703,51900,Autopilot,No Accidents,799,VA,Virginia
Model S,28674,52400,Autopilot,No Accidents,808,GA,Georgia
Model S,50881,53100,Full Self-Driving ,Previously Repaired,820,NC,North Carolina
Model S,22417,53700,Autopilot,No Accidents,831,FL,Florida
Model S,40479,53700,Autopilot,No Accidents,831,IL,Illinois
Model S,20180,53700,Autopilot,Previously Repaired,831,NJ,New Jersey
Model S,38650,54100,Autopilot,No Accidents,838,NJ,New Jersey
Model S,20260,54400,Autopilot,No Accidents,844,GA,Georgia
Model S,32577,55400,Autopilot,No Accidents,862,GA,Georgia
Model S,30505,55600,Autopilot,No Accidents,865,IL,Illinois
Model S,29418,55700,Autopilot,No Accidents,867,MD,Maryland
Model S,15604,55800,Autopilot,No Accidents,869,NJ,New Jersey
Model S,35236,55800,Full Self-Driving ,Previously Repaired,869,FL,Florida
Model S,18720,56000,Autopilot,No Accidents,872,MN,Minnesota
Model S,25297,56900,Autopilot,No Accidents,889,FL,Florida
Model S,27702,57200,Autopilot,No Accidents,894,GA,Georgia
Model S,34506,57900,Autopilot,No Accidents,907,MD,Maryland
Model S,16444,58400,Full Self-Driving ,Previously Repaired,915,FL,Florida
Model S,15063,58700,Autopilot,No Accidents,921,CA,California
Model S,16994,58800,Enhanced Autopilot,No Accidents,923,NC,North Carolina
Model S,16870,59600,Autopilot,No Accidents,937,NJ,New Jersey
Model S,30024,59700,Full Self-Driving ,No Accidents,939,GA,Georgia
Model S,33215,60200,Full Self-Driving ,No Accidents,948,GA,Georgia
Model S,42094,62100,Full Self-Driving ,No Accidents,982,MD,Maryland
Model S,23333,63000,Full Self-Driving ,Previously Repaired,998,MN,Minnesota
Model S,15242,63800,Full Self-Driving ,No Accidents,1013,NJ,New Jersey
Model S,9644,64200,Full Self-Driving ,No Accidents,1020,MN,Minnesota
Model S,22773,68200,Full Self-Driving ,No Accidents,1092,NJ,New Jersey
Model S,33368,51500,Autopilot,No Accidents,791,CA,California
Model S,42529,52500,Autopilot,No Accidents,809,CA,California
Model S,28579,54000,Autopilot,No Accidents,836,CA,California
Model S,21684,54400,Autopilot,No Accidents,844,CA,California
Model S,37443,56400,Full Self-Driving ,No Accidents,880,CA,California
Model S,27404,56500,Autopilot,Previously Repaired,881,CA,California
Model S,13138,56800,Autopilot,No Accidents,887,CA,California
Model S,14721,59100,Autopilot,No Accidents,928,CA,California
Model S,30146,60300,Full Self-Driving ,No Accidents,950,CA,California
Model S,13149,61200,Autopilot,Previously Repaired,966,CA,California
Model S,22608,62100,Full Self-Driving ,No Accidents,982,CA,California
Model S,33368,51500,Autopilot,No Accidents,791,CA,California
Model S,42529,52500,Autopilot,No Accidents,809,CA,California
Model S,28579,54000,Autopilot,No Accidents,836,CA,California
Model S,21684,54400,Autopilot,No Accidents,844,CA,California
Model S,37443,56400,Full Self-Driving ,No Accidents,880,CA,California
Model S,27404,56500,Autopilot,Previously Repaired,881,CA,California
Model S,13138,56800,Autopilot,No Accidents,887,CA,California
Model S,14721,59100,Autopilot,No Accidents,928,CA,California
Model S,30146,60300,Full Self-Driving ,No Accidents,950,CA,California
Model S,13149,61200,Autopilot,Previously Repaired,966,CA,California
Model S,22608,62100,Full Self-Driving ,No Accidents,982,CA,California
Model S,41391,47300,Autopilot,No Accidents,716,CA,California
Model S,36925,53100,Autopilot,No Accidents,820,CA,California
Model S,16994,58800,Enhanced Autopilot,No Accidents,923,CA,California
Model S,45284,47200,Autopilot,No Accidents,714,MA,Massachusetts
Model S,60507,48200,Autopilot,Previously Repaired,732,FL,Florida
Model S,27828,49400,Autopilot,Previously Repaired,754,MN,Minnesota
Model S,25082,49700,Autopilot,No Accidents,759,FL,Florida
Model S,32822,49900,Autopilot,No Accidents,763,IL,Illinois
Model S,25039,50300,Autopilot,No Accidents,770,FL,Florida
Model S,38783,50400,Autopilot,No Accidents,772,IL,Illinois
Model S,19821,50500,Autopilot,No Accidents,773,MD,Maryland
Model S,29199,50700,Autopilot,No Accidents,777,FL,Florida
Model S,47056,51100,Autopilot,No Accidents,784,NC,North Carolina
Model S,28249,51500,Autopilot,No Accidents,791,MN,Minnesota
Model S,33368,51500,Autopilot,No Accidents,791,CA,California
Model S,56931,51800,Full Self-Driving ,Previously Repaired,797,MD,Maryland
Model S,34703,51900,Autopilot,No Accidents,799,VA,Virginia
Model S,28674,52400,Autopilot,No Accidents,808,GA,Georgia
Model S,42529,52500,Autopilot,No Accidents,809,CA,California
Model S,50881,53100,Full Self-Driving ,Previously Repaired,820,NC,North Carolina
Model S,22417,53700,Autopilot,No Accidents,831,FL,Florida
Model S,40479,53700,Autopilot,No Accidents,831,IL,Illinois
Model S,20180,53700,Autopilot,Previously Repaired,831,NJ,New Jersey
Model S,28579,54000,Autopilot,No Accidents,836,CA,California
Model S,38650,54100,Autopilot,No Accidents,838,NJ,New Jersey
Model S,20260,54400,Autopilot,No Accidents,844,GA,Georgia
Model S,21684,54400,Autopilot,No Accidents,844,CA,California
Model S,32577,55400,Autopilot,No Accidents,862,GA,Georgia
Model S,30505,55600,Autopilot,No Accidents,865,IL,Illinois
Model S,29418,55700,Autopilot,No Accidents,867,MD,Maryland
Model S,15604,55800,Autopilot,No Accidents,869,NJ,New Jersey
Model S,35236,55800,Full Self-Driving ,Previously Repaired,869,FL,Florida
Model S,18720,56000,Autopilot,No Accidents,872,CA,California
Model S,37443,56400,Full Self-Driving ,No Accidents,880,CA,California
Model S,27404,56500,Autopilot,Previously Repaired,881,CA,California
Model S,13138,56800,Autopilot,No Accidents,887,MN,Minnesota
Model S,25297,56900,Autopilot,No Accidents,889,FL,Florida
Model S,27702,57200,Autopilot,No Accidents,894,GA,Georgia
Model S,34506,57900,Autopilot,No Accidents,907,MD,Maryland
Model S,16444,58400,Full Self-Driving ,Previously Repaired,915,FL,Florida
Model S,15063,58700,Autopilot,No Accidents,921,CA,California
Model S,14721,59100,Autopilot,No Accidents,928,NC,North Carolina
Model S,16870,59600,Autopilot,No Accidents,937,NJ,New Jersey
Model S,30024,59700,Full Self-Driving ,No Accidents,939,GA,Georgia
Model S,33215,60200,Full Self-Driving ,No Accidents,948,CA,California
Model S,30146,60300,Full Self-Driving ,No Accidents,950,CA,California
Model S,13149,61200,Autopilot,Previously Repaired,966,GA,Georgia
Model S,42094,62100,Full Self-Driving ,No Accidents,982,CA,California
Model S,22608,62100,Full Self-Driving ,No Accidents,982,MD,Maryland
Model S,23333,63000,Full Self-Driving ,Previously Repaired,998,MN,Minnesota
Model S,15242,63800,Full Self-Driving ,No Accidents,1013,NJ,New Jersey
Model S,9644,64200,Full Self-Driving ,No Accidents,1020,MN,Minnesota
Model S,11800,65200,Full Self-Driving ,No Accidents,1038,CA,California
Model S,17927,83600,Full Self-Driving ,No Accidents,1369,CA,California
Model S,17964,84600,Full Self-Driving ,No Accidents,1387,CA,California
Model S,59393,52200,Autopilot,No Accidents,804,GA,Georgia
Model S,26281,58500,Autopilot,No Accidents,917,FL,Florida
Model S,11800,65200,Full Self-Driving ,No Accidents,1038,CA,California
Model S,28658,72700,Autopilot,No Accidents,1173,MD,Maryland
Model S,23273,74600,Autopilot,No Accidents,1207,MN,Minnesota
Model S,14754,78500,Autopilot,No Accidents,1277,FL,Florida
Model S,17422,80900,Full Self-Driving ,No Accidents,1320,MN,Minnesota
Model S,10084,82800,Full Self-Driving ,No Accidents,1354,FL,Florida
Model S,11800,65200,Full Self-Driving ,No Accidents,1038,CA,California
Model S,17927,83600,Full Self-Driving ,No Accidents,1369,CA,California
Model S,17964,84600,Full Self-Driving ,No Accidents,1387,CA,California
